zpid,latest_salemonth,latest_saleyear
28609778,2,2020
83813002,5,2018
125235276,7,2019
125232273,6,2020
28594273,12,2020
121656272,8,2018
250400266,6,2020
80077765,6,2020
121656264,5,2018
96607764,8,2020
28594264,9,2020
28593762,1,2020
145657259,10,2019
125256756,8,2019
111966256,5,2019
28594254,3,2020
28609753,3,2018
89413247,8,2019
28601247,3,2019
303836218,11,2020
243292746,4,2019
28594243,4,2019
84142234,5,2019
122185730,3,2020
28594230,8,2019
28594229,4,2019
89548726,9,2018
125252225,4,2018
96553225,9,2019
202137222,5,2020
202137219,5,2019
202137217,8,2020
202137215,10,2020
202137214,9,2018
89404711,7,2020
28594210,6,2019
119623701,7,2019
202161479,12,2018
89551699,7,2018
122519698,3,2019
28594195,7,2020
243292691,3,2020
28594191,7,2020
243292690,8,2019
119622189,6,2018
119622687,5,2019
28585687,8,2020
202137180,12,2018
119616680,5,2018
83816178,10,2019
202137177,6,2020
69684177,12,2020
28585671,11,2019
83814669,7,2018
80080165,11,2018
111965163,4,2020
80084657,10,2020
122188653,7,2018
80082150,8,2018
119618649,6,2020
28596646,5,2020
121658643,2,2020
89549643,5,2020
80079643,6,2019
121654642,4,2018
96612642,9,2020
89551642,4,2019
243292641,6,2018
80078641,4,2020
125090140,4,2020
80081140,6,2020
243292639,7,2020
121658639,8,2020
121656139,11,2020
243292638,8,2018
125792638,9,2019
89551138,3,2019
28596638,11,2020
2084435137,7,2019
243292637,10,2019
121655636,5,2019
84135135,4,2019
28596635,6,2018
28596629,6,2019
124904127,4,2018
303836125,11,2020
303836624,7,2020
243292622,8,2019
28596617,10,2018
119615616,10,2020
114157113,6,2020
119625108,3,2020
125287607,6,2020
28593605,10,2019
80077104,4,2020
28593604,3,2020
84133102,3,2018
84076602,11,2019
125325601,5,2020
122188600,12,2018
28596600,10,2020
119619099,8,2020
125230598,7,2020
84133097,8,2019
80083596,11,2019
28596595,1,2020
202161593,7,2018
28596593,8,2019
202161591,2,2019
28596591,5,2020
122188590,3,2019
84135590,7,2020
202161589,3,2020
28596589,11,2019
2103787580,6,2019
28596579,2,2019
28596574,8,2020
243292073,7,2018
119623573,5,2019
119630071,6,2018
119615094,5,2020
145656568,4,2019
84133064,1,2019
89222561,4,2018
145657558,4,2018
303836556,7,2020
243293055,11,2019
250400554,11,2020
125234054,9,2020
243293053,10,2019
303837552,1,2021
202161550,8,2019
80075550,11,2020
243293049,5,2020
202153047,11,2020
84141545,3,2020
119628040,5,2018
122189039,4,2018
119622539,12,2019
69679537,3,2020
202189534,10,2019
121658531,5,2019
119632530,4,2020
251028527,10,2019
202189524,6,2019
121656522,10,2019
111966515,8,2019
251028514,3,2020
28602511,4,2019
2084298010,8,2019
80078505,1,2019
80077001,5,2018
119620000,6,2018
29347494,2,2020
29355997,10,2020
29364159,5,2019
29363931,11,2020
29364155,6,2020
29364427,12,2018
29364426,5,2019
29356149,7,2018
29362426,11,2018
29364146,11,2019
29364488,3,2019
29361141,6,2020
29359140,10,2020
29364412,11,2018
64707408,7,2018
29359126,11,2019
58299903,6,2020
29359120,5,2019
29364403,8,2018
29359119,6,2018
29363900,4,2019
29359116,6,2019
58299886,5,2019
29361113,7,2018
29364385,4,2020
29361110,7,2020
58299884,5,2019
29363471,2,2018
29364382,12,2019
29361103,12,2019
29363963,6,2019
58299379,12,2020
124844101,11,2019
58299378,8,2020
58299377,8,2019
29347600,4,2020
58299371,3,2018
58299362,5,2018
29347593,1,2018
29363830,3,2020
29356084,6,2019
29361072,10,2020
121656571,6,2020
58299817,5,2019
29365306,9,2020
58299795,9,2019
29361066,6,2018
29363795,3,2019
