zpid,streetAddress,latestPrice
70336887,2409 Swirling Wind Cv,999000
58300408,10660 Bramblecrest Dr,714900
29361809,3005 Brass Buttons Trl,599750
29343331,3511 Fawn Trl,515000
58298397,6900 Dogwood Holw,459500
89552800,4613 Credo Ln,192000
29565906,12211 Old Stage Trl,339500
29462679,14511 Cottingham Dr,238000
121656827,2528 Ionian Cv,1250000
202161475,137 Finnel Cv,774999
29353897,5602 Blueridge Ct,649000
29372406,10812 Wintergreen Hl,599900
124149797,10816 Natches Trce,439000
70345678,3215 Barksdale Dr,209798
120896822,2702 Pearce Rd,750000
29395301,6205 Parliament Dr,290000
58298396,6902 Dogwood Holw,475000
58300404,10680 Bramblecrest Dr,610000
60136380,2100 Wood Acre Ln APT 6,475000
111370793,12312 Mediterra Pl,539000
80079467,268 Winecup Way,549900
29396799,5402 Garden View Cv,409000
29363396,8004 High Hollow Dr,755000
251036659,8001 Bestride Bnd,429900
29372402,10900 Wintergreen Hl,414995
116080293,11320 Wyola Bnd,329000
120898376,1412 Shoreview Cv,965000
70345672,3203 Barksdale Dr,119900
29344810,6700 Troll Hvn,1150000
80107289,332 Santaluz Ln,725000
29395299,6201 Parliament Dr,329500
145655653,5213 Ingersoll Ln,299900
29376401,10636 Bramblecrest Dr,439900
83830871,501 Horseback Holw,945000
145656091,4517 Fifnella Way,238000
89548288,336 Palo Alto Way,349990
29351394,5902 Inter Council Cv,725000
29385797,4504 Aristocrat Dr,230000
111961964,433 Wild Rose Dr,490000
241933147,7213 Auburn Blaze Ln,465000
120896481,12121 Labrador Bay Ct,675900
29342304,1705 Manana St,2399000
29358887,7204 Rusty Fig Dr,715000
241934796,7400 Annette Cv,575000
88027789,14601 Staked Plains Loop,435000
243293463,136 Angela Rose Ct,589000
70345662,3204 Barksdale Dr,180000
241930792,4607 Truth Way,213000
29372400,10904 Wintergreen Hl,549500
70333788,12817 Rush Creek Ln,480000
29351383,6002 Little Bull Cv,820000
89550796,8908 Quick Stream Dr,245000
111968786,13918 Turkey Hollow Trl,332900
241933142,7113 Garnet Mill Ln,415000
70323862,8709 Capehart Cv,1435000
124837787,2504 Arion Cir,1495000
29370399,10511 Scotland Well Dr,500000
70352281,13101 Zen Gardens Way,1695000
64634789,5200 Heritage Village Dr,295000
89651286,14304 Marathon Rd,295000
122187957,380 Emma Loop,529444
29462476,14505 James Vincent Dr,202000
60136362,1303 Castile Rd,200000
2094867139,7221 Sienna Rouge Path,325000
29336282,1800 Lakeshore Dr,2599000
29370396,10505 Scotland Well Dr,399900
83822780,13707 Montview Dr,570000
121656881,9725 Solana Vista Loop #B,365000
64842284,6209 Perlita Dr,228500
2086373955,379 Stone River Dr,568900
70345631,3410 Barksdale Dr,199900
251034137,8309 Donnelley Dr,399990
29368396,8504 Del Carmen Cv,819900
114157955,324 Whispering Wind Way,399900
29351381,5405 N Scout Island Cir,799999
64578358,1100 Ogden Dr,645000
125808623,815 Hatton Hill Ln,214900
125887777,1406 W Lakeland Dr,575000
119629454,186 Big Meadow Rd,499995
29351880,4508 House Of Lancaster,769000
125934135,5421 Ingersoll Ln,248500
70992278,14308 Rountree Ranch Ln,334400
29374395,9818 Mandeville Cir,699000
29395269,5108 Regency Dr,279900
69811276,812 Lakewood Hills Ter,985000
2098913275,4524 Esper Ln,199900
29353878,5704 Driftwood Dr,1235000
250405453,814 Jacksdaw Dr,625000
