streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
5806 Charles Schreiner Trl,1988,33,2161,4,3.0
10312 Van Winkle Ct,2002,19,4587,5,3.0
8509 Vantage Point Dr,2013,8,3640,5,4.0
10018 Estancia Ln,1998,23,3634,4,4.0
6600 Wolfcreek Pass,1971,50,1656,3,2.0
10733 Cap Stone Dr,2007,14,2470,3,2.0
8400 La Tosca Dr,1973,48,2010,3,2.0
5108 Hibiscus Valley Dr,2003,18,2392,5,3.0
6301 Poncha Pass,1996,25,3319,5,3.0
11005 S Bay Ln,1989,32,3564,4,4.0
5104 Scottish Thistle Dr,2003,18,2355,4,3.0
7119 Scenic Brook Dr,1973,48,1952,3,2.0
7710 Vail Valley Dr,1992,29,2436,4,2.0
6536 Needham Ln,1988,33,2516,4,3.0
9228 La Siesta Bnd,1999,22,2173,3,2.0
10015 Austral Cv,1996,25,3056,4,3.0
7400 Mifflin Kenedy Ter,1988,33,2266,3,3.0
6503 Halsey Ct,1988,33,2608,4,4.0
8204 Twilight Terrace Dr,2001,20,3313,4,3.0
10019 Austral Cv,1996,25,3454,4,3.0
6312 Oliver Loving Trl,1988,33,2326,4,2.0
6507 Halsey Ct,1988,33,2967,4,3.0
7004 Kenosha Pass,1977,44,2203,3,2.0
7118 S Brook Dr,1973,48,1693,3,2.0
7404 Twilight Mesa Dr,2002,19,4684,4,5.0
7207 John Blocker Dr,1988,33,1394,3,2.0
6109 Dedham Ln,1993,28,2538,4,3.0
8215 Dark Ridge Cv,2002,19,3635,5,4.0
6006 Taylorcrest Dr,1999,22,1902,3,2.0
10024 Austral Cv,1995,26,3736,5,4.0
6716 Edwardson Cv,1995,26,2094,3,2.0
6611 Needham Ln,1994,27,3355,4,3.0
10020 Austral Cv,1996,25,3875,4,4.0
7606 Mifflin Kenedy Ter,1990,31,2480,4,3.0
10016 Austral Cv,1996,25,2924,5,3.5
5912 Taylorcrest Dr,2000,21,1892,4,2.0
7104 S Brook Dr,1972,49,1435,4,2.0
11208 Maelin Dr,2003,18,2814,4,3.0
9221 Ovalla Dr,2003,18,2848,4,4.0
8508 El Rey Blvd,1972,49,2002,3,2.0
5245 Austral Loop,1998,23,3634,4,4.0
8612 Echo Shore Cv,2016,5,3208,4,5.0
11132 Marden Ln,1994,27,2567,4,2.0
6620 Wolfcreek Pass,1975,46,2332,3,2.0
11128 Marden Ln,1994,27,3454,4,3.0
5504 Esquel Cv,1996,25,3058,4,3.0
11217 S Bay Ln,1994,27,3158,4,3.0
6705 Rotan Dr,1999,22,2270,3,2.0
5368 Austral Loop,1995,26,3600,5,4.0
10404 Dedham Ct,1987,34,3284,5,4.0
8002 El Dorado Dr,1984,37,2957,4,3.0
5352 Austral Loop,1995,26,2889,4,3.0
7420 Mifflin Kenedy Ter,1989,32,2427,3,3.0
6900 Twilight Mesa Dr,2002,19,3815,5,4.0
10206 Steamboat Dr,1995,26,2180,3,2.0
11721 Quintana Cv,2013,8,3134,5,3.0
8201 Edgemoor Pl,1994,27,1530,3,2.0
5117 Scottish Thistle Dr,2002,19,2392,4,3.0
6207 Dedham Ln,1988,33,2542,4,3.0
8525 Dunsmere Dr,1994,27,2283,4,3.0
10701 Lovridge Ct,1998,23,3218,3,3.0
3917 Trout Dr,1993,28,2686,4,2.0
5702 Abilene Trl,1983,38,1512,3,2.0
5112 Bluestar Dr,2002,19,2368,3,2.0
6915 Magenta Ln,2004,17,3104,4,4.0
7513 Corrie Cv,1999,22,1690,3,2.0
5608 Gorham Glen Ln,1998,23,2857,4,3.0
8007 Scenic Brook Dr,2007,14,1787,3,2.0
7903 Isaac Pryor Dr,1992,29,2974,5,3.0
4013 Trout Dr,1993,28,3053,4,3.0
6202 Old Harbor Ln,1988,33,3154,4,3.0
6738 Poncha Pass,1999,22,1453,3,2.0
11813 Rosario Cv,2013,8,1909,4,3.0
8211 Edgemoor Pl,1996,25,2165,3,3.0
6908 Poncha Pass,2001,20,2510,4,4.0
5601 Trelawney Ln,1998,23,3148,4,3.0
4024 Idalia Dr,1993,28,2902,5,4.0
6400 Clairmont Dr,1993,28,2638,4,3.0
5808 Back Bay Ln,1994,27,3001,4,3.0
7305 Whispering Creek Cir,1971,50,1804,3,2.0
5113 Bluestar Dr,2002,19,2345,4,3.0
6732 Poncha Pass,1999,22,2241,3,3.0
6813 Tanaqua Ln,2003,18,3646,4,4.0
7604 Navarro Pl,1981,40,1608,3,4.0
10821 Maelin Dr,2004,17,3700,4,4.0
5204 Corrientes Cv,1996,25,3635,4,4.0
6902 Poncha Pass,2001,20,2173,3,2.0
6318 Clairmont Dr,1993,28,2645,4,2.0
6204 Dedham Ln,1989,32,3179,4,4.0
5217 Bluestar Dr,2002,19,2345,4,3.0
6305 La Carman Ln,1999,22,2963,5,3.0
5405 Amanda Ellis Ct,1995,26,1681,3,2.0
11105 Maelin Dr,2003,18,2962,4,3.0
10321 Salida Dr,1992,29,2880,5,3.0
6917 Poncha Pass,2001,20,2155,3,3.0
5733 Trelawney Ln,1996,25,3143,4,3.0
6314 Clairmont Dr,1993,28,3220,5,3.0
9421 Collazo Way,1999,22,1851,3,2.0
10409 Dedham Ct,1990,31,3230,4,3.0
6724 Poncha Pass,2002,19,2099,4,3.0
4021 Shavano Dr,1993,28,2709,4,3.0
8817 La Siesta Bnd,1997,24,2677,4,3.0
6200 Dedham Ln,1989,32,2487,4,2.0
5409 Wolf Run,1984,37,2112,4,2.0
4624 Norman Trl,2000,21,2046,4,2.0
8812 La Siesta Bnd,1998,23,3088,4,3.0
7205 Trace Chain Dr,1987,34,1400,3,2.0
10715 Galsworthy Ln,1997,24,2327,3,2.0
8502 Clairmont Cv,1994,27,2687,4,3.0
10209 Chaska Cv,2003,18,1949,4,2.0
10411 Tasajillo Cv,2003,18,2422,3,3.0
7207 Trace Chain Dr,1978,43,1803,4,2.0
6507 Clairmont Dr,1993,28,2593,4,3.0
11137 Savin Hill Ln,1996,25,3171,5,4.0
4608 Norman Trl,2000,21,3271,5,3.0
6300 Clairmont Dr,1996,25,2267,4,2.0
11213 Savin Hill Ln,1995,26,2328,3,2.0
4604 Norman Trl,2000,21,2046,3,2.0
8501 Abilene Cv,1992,29,1772,4,3.0
5712 Galsworthy Ct,1996,25,2805,4,3.0
9028 Heiden Ln,1997,24,1835,3,2.0
4606 Manzanillo Dr,1986,35,1358,3,2.0
4600 Norman Trl,2001,20,2191,3,3.0
5819 Back Bay Ln,1994,27,2443,3,2.0
9116 La Fauna Vw,1978,43,1940,3,2.0
8221 Evelina Trl,2016,5,3134,4,4.0
5717 Galsworthy Ct,1997,24,3172,5,4.0
4613 Steed Dr,2001,20,3271,4,3.0
8201 Nairn Dr,1992,29,1815,3,3.0
8800 Colberg Dr,2001,20,2272,3,3.0
6820 Tanaqua Ln,2003,18,2814,4,3.0
8207 Nairn Dr,1992,29,1793,3,2.0
10336 Snapdragon Dr,1999,22,1891,3,2.0
11516 Maggiore Dr,2015,6,3057,3,3.0
8608 Echo Shore Cv,2016,5,3468,5,5.0
10318 Salida Dr,1992,29,2189,4,2.0
5843 Back Bay Ln,1994,27,3045,4,3.0
7300 Canteen Cir,1979,42,1403,3,2.0
2308 Enfield Rd APT 204,1962,59,628,1,1.0
5901 Back Bay Ln,1994,27,3139,4,3.0
6107 Blanco River Pass,1993,28,1858,3,2.0
706 Upson St,1950,71,788,2,1.0
11100 Blissfield Cv,2004,17,2902,4,3.0
7708 Kiva Dr,1992,29,2332,4,3.0
8216 Dark Ridge Cv,2003,18,3416,4,3.0
10236 Snapdragon Dr,1999,22,2505,4,3.0
4517 Manzanillo Dr,1986,35,1987,3,3.0
5604 Trelawney Ln,1996,25,2327,3,2.0
7025 Auckland Dr,1997,24,2545,3,3.0
4513 Chesney Ridge Dr,2001,20,2185,4,2.0
7805 Wheel Rim Cir,1992,29,2439,3,3.0
11704 Quintana Cv,2014,7,2796,4,3.0
9108 Colberg Dr,1997,24,1976,4,2.0
2105 Griswold Ln,2019,2,3592,4,5.0
4518 Tello Path,1999,22,2191,4,3.0
5621 Wagon Train Rd,1979,42,1846,3,2.0
10805 Split Stone Way,2006,15,3105,4,3.0
6509 Via Correto Dr,2004,17,4087,4,4.0
4512 Tello Path,1999,22,1744,3,2.0
1514 Forest Trl APT 203,1961,60,765,2,2.0
11101 Pebble Garden Ln,1990,31,2776,4,3.0
6303 Smith Oak Trl,1983,38,1856,4,2.0
4715 Roundup Trl,1956,65,1620,4,2.0
4309 Companeros Way,1999,22,1511,3,2.0
10724 Galsworthy Ln,1997,24,3271,4,4.0
6212 La Naranja Ln,1992,29,2500,5,4.0
6885 Auckland Dr,1995,26,1682,3,2.0
1407 Newfield Ln,1942,79,1466,3,2.0
5514 Kayview Dr,1996,25,2102,4,3.0
10812 Split Stone Way,2006,15,2945,4,3.0
5513 Honey Dew Ter,1981,40,1596,3,2.0
9309 Colberg Dr,1995,26,2400,4,3.0
11006 Pebble Garden Ln,1991,30,4544,4,5.0
2113 Highgrove Ter,1948,73,3254,4,3.0
10207 Steamboat Dr,1995,26,3684,4,3.0
6522 Clairmont Dr,1997,24,1899,4,2.0
11828 Rosario Cv,2013,8,2066,3,2.0
1501 W 6th St APT A2,1981,40,1286,2,2.0
8101 Espanola Trl,1972,49,2226,4,2.0
6550 Fair Valley Trl,1983,38,1856,4,2.0
4316 Bremner Dr,1999,22,2070,4,3.0
10805 Tollesboro Cv,2004,17,3191,4,4.0
8009 Nairn Dr,1991,30,1804,3,2.0
4336 Bremner Dr,1999,22,1979,3,2.0
9017 Lantana Way,1998,23,2173,3,2.0
1703 Vista Ln,1941,80,1854,3,2.0
6401 Zadock Woods Dr,1997,24,2687,3,3.0
6612 Nusser Ln,2002,19,3270,4,4.0
1111 Dunstan Dr,1977,44,1167,4,2.0
4340 Bremner Dr,1999,22,1711,3,3.0
7803 Broken Lance Dr,1985,36,896,3,2.0
602 Highland Ave,1920,101,1674,2,2.0
5905 Rickerhill Ln,1990,31,2856,4,3.0
5605 Vol Walker Cv,1996,25,2320,4,3.0
4604 Steed Dr,2000,21,1894,3,2.0
805 Winflo Dr,2003,18,1874,4,2.0
5911 Rickerhill Ln,1992,29,2499,4,2.0
3710 Malone Dr,1999,22,1820,4,3.0
9004 Tanak Ln,1999,22,3030,4,3.0
6705 Kiev Cv,2003,18,3498,4,4.0
3628 Malone Dr,1994,27,2950,4,3.0
9304 Axtellon Ct,1996,25,2094,4,2.0
5412 Wolf Run,1983,38,2057,3,2.0
6616 Orchard Hill Dr,1998,23,2505,3,2.0
9305 Axtellon Ct,1996,25,2398,4,3.0
3600 Malone Dr,1997,24,1982,4,3.0
1621 Enfield Rd APT B,2008,13,2036,3,4.0
7100 Via Dono Dr,2006,15,4066,5,5.0
4505 Tello Path,2000,21,2104,4,2.0
6304 Clairmont Dr,1993,28,2429,4,2.0
10612 Melcher Ct,2002,19,2907,3,4.0
605 Hearn St,2012,9,2538,4,4.0
2510 Baxter Dr,1972,49,1680,3,2.0
9317 Axtellon Ct,1996,25,1560,3,2.0
4517 Tello Path,2000,21,2588,3,3.0
805 Patterson Ave,1979,42,1612,2,3.0
1601 Sylvan Glade,1958,63,1005,2,1.0
6818 Poncha Pass,2001,20,1734,3,2.0
11101 Readvill Ln,1995,26,2312,3,2.0
7800 Indian Ridge Dr,1907,114,1344,2,1.0
1314 Norwalk Ln APT G,2008,13,2065,2,3.0
6500 Scenic Cv,1998,23,3115,5,3.0
10309 Snapdragon Dr,1999,22,2532,4,3.0
803 Patterson Ave,1979,42,1612,2,2.5
5903 Abilene Trl,1984,37,2314,4,3.0
1705 Forest Hill Dr,1956,65,972,3,1.0
11105 Readvill Ln,1996,25,2242,4,2.0
5101 Scottish Thistle Dr,2003,18,2583,4,3.0
2313 Newfield Ln,1955,66,2038,4,3.0
7021 Via Correto Dr,2006,15,3336,4,4.0
10216 Chaska Cv,2004,17,2563,4,3.0
11111 Readvill Ln,1995,26,2722,4,3.0
6900 Telluride Trl,2002,19,2246,3,3.0
3000 Bonnie Rd,1939,82,2127,3,2.0
3704 Sawmill Dr,1995,26,2480,4,3.0
6624 Tasajillo Trl,2002,19,2690,3,3.0
5902 Kayview Dr,1992,29,2444,4,4.0
6500 Orchard Hill Dr,1998,23,2865,4,4.0
10341 Snapdragon Dr,1999,22,1891,3,2.0
7606 Clara Marie Cv,2002,19,2227,3,3.0
731 Patterson Ave,1979,42,1624,2,3.0
9127 Colberg Dr,1997,24,2223,4,2.0
10729 Maelin Dr,2005,16,2931,4,3.0
3612 Sawmill Dr,1996,25,3215,3,3.0
6848 La Concha Pass,1999,22,1690,3,2.0
11120 Pebble Garden Ln,1995,26,2813,4,3.0
4609 Chesney Ridge Dr,2000,21,1804,3,2.0
7020 Via Correto Dr,2006,15,2854,4,3.0
804 Patterson Ave,1935,86,2014,4,3.0
6409 Nusser Ln,2002,19,2954,4,3.0
9213 Colberg Dr,1996,25,2223,3,2.0
3514 Sawmill Dr,1998,23,2231,4,2.0
1803 Polo Rd,1974,47,1935,3,3.0
4808 San Simeon Dr,1993,28,1733,3,2.0
2302 Horn Ln,2002,19,4174,4,4.0
10413 Foxglove Ct,2002,19,2464,3,3.0
7016 Via Correto Dr,2006,15,3437,3,3.0
10433 Snapdragon Dr,2001,20,2525,4,3.0
6840 La Concha Pass,2001,20,2277,3,3.0
11104 Pebble Garden Ln,1996,25,3208,4,4.0
1815 Polo Rd,2020,1,2772,4,5.0
5900 Kayview Dr,1994,27,1974,4,3.0
11122 S Bay Ln,1994,27,3355,5,3.0
901 Theresa Ave,1928,93,2110,3,3.0
6838 La Concha Pass,1999,22,1690,3,2.0
10308 Bluestar Cv,1999,22,2115,4,3.0
5400 Wolf Run,1983,38,2309,5,3.0
6925 Larue Belle Cv,2004,17,3569,5,4.0
6816 La Concha Pass,1984,37,2252,4,3.0
6836 La Concha Pass,1999,22,1908,3,2.0
10300 Bluestar Cv,2001,20,2608,4,3.0
1619 Waterston Ave,1938,83,2072,3,1.0
4804 San Simeon Dr,1992,29,1860,3,2.0
6103 Skahan Ln,1991,30,2918,5,4.0
4724 Norman Trl,2001,20,2554,3,4.0
8704 Clarion Ct,1996,25,2062,3,2.0
2009 Vista Ln,1955,66,2729,3,2.0
5812 Kayview Dr,1993,28,2328,3,3.0
5016 Bluestar Dr,1999,22,2064,3,3.0
10909 Split Stone Way,2005,16,2527,4,2.0
7858 El Dorado Dr,1984,37,2576,4,3.0
5611 Wagon Train Rd,1979,42,1599,3,2.0
3620 Aspen Creek Pkwy,1996,25,2455,4,2.0
5917 Magee Bnd,1998,23,2473,4,2.0
10213 Rhett Butler Dr,1996,25,3482,4,4.0
6828 La Concha Pass,1999,22,1765,4,2.0
1906 Bremen St,2019,2,4103,4,5.0
5919 Magee Bnd,1998,23,2067,3,2.0
3601 Malone Dr,2000,21,3409,4,4.0
6508 Ruxton Ln,1999,22,1863,3,2.0
6501 Tasajillo Trl,2001,20,2585,3,3.0
1305 Exposition Blvd APT 2,2008,13,2200,3,4.0
4712 San Simeon Dr,1994,27,1608,3,2.0
7906 El Dorado Dr,1980,41,3373,5,4.0
3613 Malone Dr,1995,26,2115,4,2.0
11101 S Bay Ln,1994,27,3001,4,3.0
2000 Woodmont Ave,1951,70,1798,3,2.0
10316 Dalea Vista Ct,2002,19,2638,3,3.0
9508 Zuniga Dr,2001,20,2046,3,2.0
1406 Enfield Rd,1918,103,3483,4,3.0
5600 Camp Fire Trl,1979,42,1396,3,2.0
10901 Beachmont Ln,1998,23,3148,4,3.0
9500 Zuniga Dr,2001,20,1804,3,2.0
722 Patterson Ave,1941,80,2200,4,3.0
6721 Via Correto Dr,2005,16,3709,4,4.0
5513 Kayview Dr,1996,25,2037,4,2.0
10709 Redmond Rd,1993,28,2822,4,2.5
717 Meriden Ln,1932,89,943,2,1.0
8800 Granada Hills Dr,1973,48,2244,4,3.0
6702 Convict Hill Rd,1994,27,2257,3,3.0
9113 Hoffman Cv,1998,23,1711,3,2.5
6903 Breezy Pass,1993,28,2570,4,3.0
1608 W 11th St,2006,15,1902,3,3.0
5815 Abilene Trl,1983,38,2348,4,3.0
10308 Dalea Vista Ct,2001,20,1981,3,2.0
6116 Whipple Way,2011,10,2242,4,3.0
8504 Copano Dr,1985,36,1290,3,2.0
10713 Redmond Rd,1993,28,3498,4,3.0
4813 Norman Trl,2000,21,2046,3,2.0
5900 Rutledge Ln,2009,12,2326,4,3.0
6506 Farmdale Ln,1994,27,3258,4,3.0
5908 Taylorcrest Dr,1999,22,2387,4,3.0
4702 Roundup Trl,1992,29,2208,4,3.0
8012 Isaac Pryor Dr,1993,28,2991,3,3.0
5711 Pecanwood Ln,1998,23,3000,5,4.0
10313 Dalea Vista Ct,2002,19,2750,4,3.0
6708 Poncha Pass,1984,37,2632,4,3.0
1103 Norwalk Ln,1953,68,1690,3,2.0
4514 San Simeon Dr,1986,35,1331,3,2.0
10208 Banks Ct,1997,24,3394,4,4.0
6816 Beatty Dr,1998,23,1687,3,2.0
1625 Watchhill Rd,1938,83,3517,5,6.0
3811 Byron Dr,1965,56,1558,3,2.0
8804 Barrow Glen Loop,1997,24,2046,3,2.0
7204 Twilight Mesa Dr,2003,18,3844,3,3.0
6821 Tanaqua Ln,2003,18,3372,4,4.0
6201 Honey Dew Ct,1983,38,2001,3,3.0
8801 Gallant Fox Rd,1994,27,2770,4,3.0
8508 Aoudad Trl,1997,24,2576,4,3.0
10807 Redmond Rd,1989,32,3696,5,4.0
6706 Poncha Pass,1984,37,2750,4,3.0
4904 Buckskin Pass,1966,55,1691,4,2.0
8807 Gallant Fox Rd,1983,38,2071,4,3.0
4628 Moose Dr,1994,27,2294,3,3.0
10904 Bexley Ln,1998,23,2849,4,3.0
6011 San Paublo Ct,1989,32,2234,4,3.0
6900 Gabion Dr,1999,22,2305,3,2.0
5325 Mabry Ct,2001,20,3125,5,3.0
814 Theresa Ave,1928,93,1478,3,2.0
10903 Rickerhill Ct,1989,32,2866,4,3.0
2307 Fair Oaks Dr,1960,61,1695,3,2.0
6015 San Paublo Ct,1989,32,1769,3,2.0
4604 Moose Dr,1996,25,1847,3,2.0
10207 Banks Ct,1997,24,3468,4,4.0
7401 Twilight Shadow Dr,2004,17,2540,1,1.0
1614 Confederate Ave,1926,95,1416,2,2.0
8200 Nairn Dr,1992,29,2082,3,3.0
9101 Ovalla Dr,2003,18,2112,3,2.0
2309 Fair Oaks Dr,1960,61,1524,3,2.0
6518 Tasajillo Trl,2001,20,1992,3,2.0
8105 Richard King Trl,1992,29,2703,4,3.0
8805 Ampezo Trl,1989,32,1773,4,3.0
2010 Prather Ln,1954,67,1555,4,2.0
10905 Rickerhill Ct,1989,32,3514,5,4.0
7619 Scenic Brook Dr,1980,41,1442,3,2.0
7210 Chuck Wagon Trl,1979,42,1149,3,2.0
4500 Moose Dr,1997,24,1900,3,2.0
9004 Heiden Ln,1997,24,2288,3,3.0
1800 Jentsch Ct #B,2004,17,1671,2,2.5
11821 Rosario Cv,2013,8,2396,4,3.0
8000 Henry Kinney Row,1990,31,1912,3,2.0
2008 Prather Ln,1949,72,1208,2,1.0
103 E Canyon Cir,1973,48,3198,3,3.0
6901 Tanaqua Ln,2003,18,3646,4,4.0
7809 Kincheon Ct,1988,33,1973,3,2.0
2408 Winsted Ln,2018,3,2808,4,4.0
8508 Yaupon Springs Cir,1979,42,660,1,0.0
10428 Tasajillo Cv,2002,19,2750,4,3.0
2006 Prather Ln,1945,76,1512,3,2.0
4707 Alta Loma Dr,1986,35,1416,3,2.0
8806 Colberg Dr,2001,20,2093,4,3.0
11012 Savannah Ct,1997,24,2464,4,2.0
4611 Pack Saddle Pass,1960,61,1923,4,2.0
5942 Salcon Cliff Dr,1998,23,2387,4,3.0
6018 Open Range Trl,1984,37,3026,4,4.0
2508 Quarry Rd APT C,1986,35,1480,3,3.0
4519 Roundup Trl,1959,62,2252,4,3.0
4601 Galapagos Dr,1991,30,1631,3,2.0
2707 Stratford Dr #2,2020,1,3317,4,4.0
6014 Open Range Trl,1986,35,2389,4,3.0
7328 Tanaqua Ln,2003,18,3546,5,4.0
1905 Cannonwood Ln,1966,55,1553,3,2.0
2702 Stratford Dr,1951,70,2413,4,3.0
5611 Porsche Ln,1982,39,1370,3,2.0
8804 Ampezo Trl,1991,30,2206,4,2.5
11213 Maelin Dr,2003,18,3826,4,4.0
9102 El Rey Blvd,1976,45,2271,4,2.0
7812 Kincheon Ct,1992,29,2442,3,3.0
1004 Maufrais St,1905,116,3681,5,4.0
4801 Hale Dr,1991,30,1679,3,2.0
6108 Back Bay Ln,1991,30,3047,4,3.0
2113 Falcon Hill Dr,1968,53,1770,4,3.0
7701 Chelmsford Dr,1982,39,1817,3,2.0
11213 Gorham Glen Ct,1999,22,3332,4,3.0
5313 Spirea Cv,2001,20,2530,4,3.0
1002 Charlotte St,2019,2,2412,3,3.0
7102 Whispering Creek Ct,1972,49,1539,3,2.0
1416 Salem Meadow Cir,1972,49,1280,3,2.0
7934 Wheel Rim Cir,1992,29,2490,4,3.0
5338 Tamango Way,2002,19,1894,3,2.0
6115 Back Bay Ln,1990,31,2858,4,3.0
1306 Winsted Ln,1939,82,4063,6,5.0
7700 Banpass Ln,1982,39,1652,3,2.0
7906 Nairn Dr,1991,30,2013,4,3.0
2306 Fair Oaks Dr,1960,61,1330,3,2.0
5817 Gorham Glen Ln,1999,22,2671,3,3.0
1902 Forest Trl,2020,1,4219,4,5.0
4505 Kalama Dr,1985,36,1290,3,2.0
5317 Dry Wells Rd,1994,27,2524,4,3.0
1803 Parkside Ln,1967,54,1900,4,2.0
7604 Banpass Ln,1982,39,1361,3,2.0
8907 Teresina Dr,1989,32,1560,3,2.0
5812 Anselm Ct,1999,22,3217,4,4.0
5506 Rose Hill Cir,1982,39,3360,8,4.0
906 Maufrais St,1927,94,1436,3,3.0
5910 Abilene Trl,1984,37,2116,3,3.0
11012 Maelin Dr,2004,17,3646,4,4.0
7800 Scenic Brook Dr,1981,40,1224,3,2.0
4813 Chesney Ridge Dr,2001,20,2849,5,3.0
5505 Mccarty Ln,1968,53,2080,3,2.0
8507 Evelina Trl,2016,5,2426,4,3.0
2408 Enfield Rd APT 205,1983,38,1174,2,2.0
10900 Palgrave Ct,1997,24,2243,4,2.0
2008 Amur Dr,2007,14,2074,3,3.0
4829 Chesney Ridge Dr,2000,21,2191,3,3.0
7926 Wheel Rim Cir,1987,34,1729,3,3.0
6856 Auckland Dr,1996,25,1839,3,3.0
10614 Redmond Rd,1993,28,2638,4,3.0
5835 Lomita Verde Cir,1998,23,2387,4,3.0
6709 Hot Springs Dr,1998,23,3440,5,4.0
6202 Skahan Ln,1990,31,3277,5,4.0
6509 Poncha Pass,1991,30,2084,3,2.0
1812 Cannonwood Ln,1966,55,1317,3,2.0
4832 Chesney Ridge Dr,2001,20,2350,4,3.0
8411 Fenton Dr,1981,40,1961,3,3.0
5203 Buffalo Pass,1972,49,2786,4,4.0
11016 Pairnoy Ln,2003,18,3386,4,4.0
5514 Honey Dew Ter,1981,40,1228,3,2.0
4607 S Forest Dr,1959,62,1977,4,2.0
4812 Chesney Ridge Dr,2000,21,2046,3,2.0
8501 Fenton Dr,1981,40,1615,3,2.0
2507 Quarry Rd APT F,1983,38,1327,2,2.0
7900 Nairn Dr,1991,30,2013,4,3.0
10905 Bexley Ln,1999,22,2315,3,2.0
5302 Meadow Creek Cir,1972,49,1406,3,2.0
4808 Chesney Ridge Dr,2001,20,2121,3,2.0
7702 Kincheon Ct,1986,35,1700,3,2.5
8505 Fenton Dr,1981,40,1619,3,3.0
6601 Aldford Cir,1976,45,1346,3,2.0
4712 Chesney Ridge Dr,2000,21,3271,5,0.0
5817 Anselm Ct,1999,22,2206,4,2.0
604 Pressler St,1947,74,2856,4,0.0
6624 Hot Springs Dr,1998,23,3576,3,4.0
2616 Choctaw Trl,1969,52,1282,3,2.0
5504 Honey Dew Ter,1981,40,1411,3,2.0
4708 Chesney Ridge Dr,2000,21,2191,3,3.0
10921 Bexley Ln,1998,23,3148,4,3.0
1900 Parkside Ln,1966,55,1347,3,2.0
5936 Lomita Verde Cir,1998,23,1892,4,2.0
6826 Auckland Dr,1995,26,1551,3,2.0
5303 Kings Hwy,1965,56,1112,3,1.0
8829 Corran Ferry Dr,1999,22,1945,3,3.0
11012 Readvill Ln,1990,31,2840,3,3.0
202 Lacey Ave,1982,39,2573,4,0.0
1812 Parkside Ln,1965,56,1784,3,2.0
10924 Beachmont Ln,1998,23,2140,4,2.0
6402 Steer Trl,1984,37,2239,4,3.0
5705 Lomita Verde Cir,1998,23,2247,4,3.0
615 Theresa Ave #B,2014,7,2106,3,3.0
6007 Cannon Mountain Dr,1983,38,1502,3,2.0
5501 Kings Hwy,1967,54,1120,3,1.0
6408 Mirarosa Dr,2014,7,2929,5,4.0
4500 Keota Dr,1985,36,1506,3,2.0
1905 Winsted Ln,1950,71,998,2,1.0
4909 Tomahawk Trl,1965,56,3160,5,4.0
6612 La Concha Pass,1983,38,3688,6,5.0
2021 Amur Dr,2007,14,2131,3,3.0
11012 Bexley Ln,2000,21,3114,4,3.5
8801 Corran Ferry Dr,2000,21,1826,3,2.0
2205 Laramie Trl,1967,54,1938,4,2.0
6405 Nusser Ln,2002,19,2489,4,2.0
803 Pressler St,1996,25,1492,2,2.0
2101 Prather Ln,1940,81,1062,1,1.0
10621 Pinkney Ln,1993,28,2560,5,3.0
2103 Sharon Ln,1948,73,2714,4,4.0
5316 Mabry Ct,2001,20,2082,4,2.0
5900 London Dr,2002,19,2457,3,3.0
5305 Ashcroft Ct,1990,31,2658,3,2.0
10827 Redmond Rd,1992,29,1933,4,2.0
725 Patterson Ave,1992,29,1826,2,2.0
5951 Lomita Verde Cir,1998,23,2401,4,3.0
5618 Porsche Ln,1982,39,1213,3,2.0
2206 Remuda Trl,1967,54,1755,3,2.0
1018 Shelley Ave,1917,104,1437,3,2.0
8806 Teresina Dr,1991,30,1896,4,3.0
10905 Beacham Ct,1989,32,3302,4,4.0
5004 Buffalo Pass,1966,55,1688,4,2.0
4500 Velasco Pl,1986,35,1331,3,2.0
6624 Quincy Cv,2003,18,3374,4,3.0
614 Winflo Dr,1950,71,2020,4,2.5
4601 Velasco Pl,1986,35,1513,3,3.0
1404 Homespun Rd,2016,5,2035,3,3.0
700 Winflo Dr,1951,70,1395,3,2.0
6117 Jumano Ln,1997,24,2100,4,2.0
5904 Gorham Glen Ln,2000,21,3127,4,4.0
4229 Iriona Bnd,1989,32,2206,4,3.0
1107 Maufrais St,1936,85,1710,4,2.0
5002 Buffalo Pass,1971,50,1737,4,2.0
4507 Velasco Pl,1986,35,1416,3,2.0
5106 Wagon Hitch Cv,1979,42,2476,4,3.0
5812 Gorham Glen Ln,1998,23,3189,4,3.0
2507 Western Trails Blvd,1968,53,1391,3,2.0
5601 York Bridge Cir,2005,16,2169,4,2.0
4313 Eskew Dr,1984,37,2277,3,3.0
2707 Cherry Ln,1939,82,2222,4,3.0
5844 Gorham Glen Ln,1999,22,3074,3,3.0
5409 Batak Ln,2005,16,2230,4,2.0
5832 Gorham Glen Ln,2000,21,2808,4,3.0
4403 Eskew Dr,1984,37,1913,3,3.0
5508 Kings Hwy,1966,55,1176,3,2.0
4708 Alta Loma Dr,1986,35,1416,3,2.0
2006 Winsted Ln,1947,74,1095,2,1.0
5801 Tinita Ct,1999,22,2911,4,3.0
7421 Ponoma Trl,1991,30,1583,3,2.0
5504 Kings Hwy,1966,55,1575,3,3.0
5809 Tinita Ct,1999,22,3160,4,3.0
2100 W 10th St,1950,71,1042,3,1.0
2712 Windswept Cv,1972,49,3344,8,4.0
8917 Copano Dr,1999,22,2191,3,3.0
