streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
9710 Grand Oak Dr,1985,36,3114,4,3.0
1103 Merlene Dr,2015,6,3393,4,4.0
14900 Truman Oak Cv,2013,8,1550,4,3.0
9803 Westward Dr,1979,42,1848,3,2.0
4912 Bonneville Bnd,2015,6,2953,4,3.0
5701 Lakemoore Dr,1960,61,1600,0,0.0
3503 Native Dancer Cv,1983,38,4269,4,5.0
11125 Dodge Cattle Dr,2005,16,2256,3,3.0
8101 Davis Mountain Pass,1995,26,2415,4,2.0
11117 Calavar Dr,1993,28,2455,5,3.0
13505 Coleto Creek Trl,2006,15,4589,4,5.0
7925 Beacon Knob Way,2018,3,2766,4,4.0
3100 Smoky Rdg,1986,35,3009,4,4.0
5608 Parade Rdg,1995,26,1456,2,2.0
9803 Timber Ridge Pass,1985,36,2094,3,3.0
8023 Davis Mountain Pass,1992,29,2051,3,2.0
5715 Sendero Hills Pkwy,2004,17,1200,3,2.0
10202 Pickfair Dr,1999,22,3962,4,4.0
208 Mediterra Point,2008,13,3323,4,3.0
3408 Crownover St,2004,17,1278,3,2.0
14506 Highsmith St,1998,23,1662,3,2.0
2000 Wimberly Ln,2011,10,3983,4,4.0
6106 Gardenridge Holw,1980,41,1799,3,2.0
8021 Davis Mountain Pass,1993,28,2761,3,3.0
12313 Mediterra Pl,2011,10,2972,4,4.0
10607 Marbury Ct,1991,30,2580,4,2.0
11700 Saddle Rock Dr,2017,4,1496,3,2.0
9711 Timber Ridge Pass,1984,37,1499,3,2.0
5607 Courtyard Dr,1991,30,2519,3,3.0
5504 Gooding Dr,2017,4,2360,3,3.0
8001 Weldon Springs Ct,1993,28,4263,4,5.0
2508 Arion Cir,2015,6,3895,4,4.0
9012 Southwick Dr,2012,9,1221,3,2.0
2416 Kale Dr,2010,11,1420,3,2.0
9906 Richelieu Rd,1975,46,2904,4,4.0
9802 Westward Dr,1978,43,1406,3,2.0
5525 City Park Rd APT 6,2006,15,4237,4,4.0
12407 Waterton Parke Cv,1989,32,3165,5,3.0
12701 Tierra Grande Trl,2008,13,2045,3,2.0
6004 Gardenridge Holw,1981,40,1359,2,2.0
2403 Saratoga Dr,1962,59,1780,3,3.0
12500 Mcloughlin Point,1993,28,3328,5,4.0
9304 Cedar Forest Dr,1978,43,3451,4,3.0
2205 Big Horn Dr,1988,33,3020,5,4.0
3219 Smoky Rdg,1981,40,2812,3,3.0
1925 Wimberly Ln,2005,16,3294,4,3.0
6730 Cuesta Trl #5,2002,19,3764,3,4.0
5620 Toscana Ave,2006,15,1511,3,3.0
10905 Dodge Cattle Dr,2005,16,1884,3,3.0
9903 Brandywine Cir,1976,45,2526,3,3.0
7949 Castle Peake Trl,2000,21,3274,4,4.0
7312 Van Ness St,2017,4,1754,3,2.0
2201 Big Horn Dr,1983,38,2944,3,3.0
12301 Labrador Bay Ct,2012,9,3029,4,4.0
4603 Halliday Ave,2009,12,1236,4,2.0
10614 Marbury Ct,1990,31,3346,5,4.0
6007 Carry Back Ln,1984,37,4700,5,6.0
6902 Rusty Fig Dr,1982,39,2728,4,3.0
9413 China Rose Dr,2014,7,2491,5,3.0
8012 Davis Mountain Pass,1993,28,2495,4,2.0
11912 Montclair Bnd,2008,13,3358,4,4.0
15308 Staked Plains Loop,2006,15,1985,3,2.5
9024 Sun Shower Bnd,2007,14,1761,4,2.0
15120 Arizona Oak Ln,2003,18,1326,3,2.0
2103 Big Horn Dr,2013,8,3700,5,4.0
10304 Holme Lacey Ln,1984,37,2846,4,3.0
8141 Tahoe Parke Cir,1999,22,3884,5,4.0
10046 Circleview Dr,1987,34,3076,4,3.0
6300 Sprucewood Cv,1985,36,2068,3,2.0
15529 Staked Plains Loop,2007,14,2708,4,3.0
4701 Sojourner St,1989,32,1895,4,3.0
8009 High Hollow Dr,1996,25,2898,3,3.0
900 Santaluz Path,2011,10,4597,4,5.0
7305 Coit Rd,2017,4,1916,3,2.0
12205 Waterton Parke Cir,1999,22,2538,3,2.0
15105 Stave Oak Ln,2003,18,1952,4,3.0
12310 Bent Cedar Cv,1980,41,1723,3,2.0
412 Summer Alcove Way,2012,9,4559,5,4.0
11307 Nutwood Cv,1989,32,2635,5,4.0
8005 High Hollow Dr,1996,25,3574,4,4.0
110 S Lake Hills Dr,1979,42,2110,3,3.0
12201 Klondike Rush Point,1996,25,2622,4,3.0
4723 Castleman Dr,1996,25,1405,3,2.0
7205 Waldon Dr APT 209,1983,38,1096,2,2.0
6013 Seville Dr,2017,4,2837,4,3.0
12203 Klondike Rush Point,1990,31,3379,4,4.0
3515 Needles Dr,1983,38,4840,4,4.0
516 Horseback Holw,2010,11,4150,5,4.0
9305 Spring Hollow Dr,1976,45,2826,4,3.0
233 Santaluz Ln,2008,13,4549,5,6.0
3502 Batson Dr,2020,1,1863,4,2.0
8001 High Hollow Dr,1995,26,2489,4,3.0
11513 Gold Cave Dr,2007,14,2030,3,3.0
7116 Lombard Ln,2017,4,2942,4,4.0
2105 Canonero Dr,1991,30,3724,5,5.0
108 Thistle Ct,2005,16,4616,5,4.0
5321 King Henry Dr,1984,37,1531,4,3.0
14605 Staked Plains Loop,2004,17,2792,3,3.0
7908 Donnelley Dr,2019,2,2502,3,3.0
6005 Gardenridge Holw,1978,43,1747,3,2.0
4819 N Capital Of Tx Hy #1,1997,24,4496,3,4.0
12205 Klondike Rush Point,1992,29,2484,4,3.0
9220 China Rose Dr,2014,7,1650,3,2.0
14505 Amy Francis St,2001,20,1178,3,2.0
15316 Staked Plains Loop,2006,15,1985,3,3.0
300 Horseback Holw,2010,11,3058,4,3.0
3505 Robbins Rd,1999,22,4800,3,5.0
11115 Orsini Pl,1976,45,3205,4,3.0
8037 Tahoe Parke Cir,1999,22,3522,5,5.0
6029 Florencia Ln,2018,3,2470,3,3.0
711 Yabers Ct,2013,8,1426,3,2.0
6807 Falcata Cv,1982,39,3078,4,3.0
7704 Vista Mejor Dr,2017,4,1976,3,2.0
13800 Madrone Mountain Way,2001,20,4417,4,6.0
12728 Tierra Grande Trl,2009,12,1947,3,2.0
606 Horseback Holw,2011,10,3335,4,4.0
1913 Canonero Dr,1989,32,3649,4,5.0
11111 Orsini Pl,1979,42,2537,4,3.0
11616 Mcdows Hole Ln,2007,14,1815,3,3.0
5201 Park At Woodlands Dr,2007,14,1347,3,2.0
3411 Peavy Dr,2000,21,1726,3,3.0
5503 Courtyard Dr,1984,37,2848,3,4.0
14508 Rumfeldt St,1998,23,1692,3,2.0
7805 Brightman Ln,1999,22,3852,4,4.0
13420 Madrone Mountain Way,2011,10,3750,4,3.0
612 Horseback Holw,2010,11,4172,5,4.0
5303 King Henry Dr,1975,46,1116,4,2.0
3409 Peavy Dr,2000,21,1476,3,3.0
10711 Keystone Bnd,1985,36,2220,3,2.0
605 N Weston Ln,1996,25,3652,4,4.0
8003 Caribou Parke Cv,1988,33,2949,4,3.0
