zpid,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
70335832,2005,16,2746,4,3.0
29370422,1989,32,3033,4,3.0
125750185,2018,3,4200,4,5.0
70992341,2007,14,2015,3,3.0
145656729,2016,5,1891,3,3.0
2077718915,2016,5,1953,3,3.0
70348219,2006,15,2255,3,2.0
88023921,2004,17,2825,4,3.0
29341366,2002,19,6078,4,6.0
251033728,2019,2,2570,4,3.0
70992334,2007,14,1626,3,2.0
202190487,2016,5,2852,4,4.0
120897535,2014,7,2502,4,3.0
80093353,2007,14,1442,3,2.0
29459824,1996,25,1898,3,3.0
29346897,1989,32,3675,5,4.0
29340866,1994,27,4016,4,4.0
64543920,1957,64,2878,4,3.0
202152984,2015,6,3181,4,4.0
70992331,2007,14,2868,4,4.0
29368502,1989,32,3071,4,4.0
111372345,2014,7,1891,3,2.0
251030534,2017,4,1535,3,2.0
29351415,1999,22,3427,3,4.0
29342397,1970,51,1686,4,2.0
241938219,2017,4,2289,4,3.0
29344861,1985,36,2500,3,3.0
29368420,1983,38,2269,4,3.0
29368500,1998,23,2698,4,3.0
83828324,2006,15,5555,4,6.0
80084981,2006,15,2739,4,3.0
70326844,2007,14,2192,3,3.0
70348860,2005,16,6038,5,8.0
249878946,2019,2,1865,4,2.0
29351414,1999,22,3994,4,4.0
70336895,2008,13,4183,5,5.0
70345711,2006,15,1986,5,3.0
70992322,2007,14,2471,3,2.0
145658498,2016,5,2526,3,4.0
145655717,2015,6,1772,3,3.0
29360913,1984,37,2294,3,3.0
64696895,2005,16,3533,4,4.0
185217321,2006,15,1837,3,2.0
70345708,2010,11,1378,3,2.0
29377417,1983,38,3149,5,4.0
83124822,2011,10,3818,4,4.0
84138980,2006,15,3854,4,4.0
83824836,2007,14,2573,4,3.0
2088560215,2018,3,2457,4,3.0
29363410,1993,28,2844,3,3.0
2099325819,2015,6,3051,4,4.0
70352394,2006,15,2538,3,3.0
29462708,2000,21,1467,3,3.0
29344853,1997,24,3092,4,4.0
83815821,2009,12,2958,5,3.0
64640832,2006,15,1339,3,2.0
29461309,1986,35,1539,4,2.0
55299479,2005,16,3062,4,4.0
29375915,1977,44,2611,5,3.0
70336894,2010,11,4129,5,5.0
29344851,1996,25,3385,4,4.0
29351909,1996,25,3277,4,5.0
29439010,1988,33,2257,3,3.0
111371325,2014,7,1710,4,2.0
28594363,1994,27,2234,3,2.0
29461308,1986,35,1854,3,3.0
124843201,2016,5,1789,3,3.0
