zpid,zipcode,latitude,longitude,yearBuilt,latestPrice,latest_saleyear,livingAreaSqFt,numOfBathrooms,numOfBedrooms,homeAge_years
29473284,78704,30.244548797607425,-97.7614974975586,2012,1675000,2020,3650,5.0,5,9
29474652,78704,30.23895835876465,-97.77466583251952,1961,545000,2020,1026,2.0,3,60
29473283,78704,30.24464225769043,-97.76123809814452,1943,850000,2020,3470,0.0,4,78
58312151,78704,30.24274444580078,-97.7750473022461,2001,649000,2018,2443,3.0,4,20
29473280,78704,30.24503517150879,-97.76126098632812,1947,825000,2020,1684,0.0,2,74
121658767,78704,30.244836807250977,-97.75951385498048,2014,1125000,2020,2110,3.0,3,7
58312148,78704,30.24277114868164,-97.77458953857422,2001,649900,2020,2205,3.0,3,20
29473267,78704,30.24245262145996,-97.76178741455078,1940,499000,2019,1472,2.0,3,81
2127678647,78704,30.249889373779297,-97.77459716796876,2003,575000,2020,1752,3.0,3,18
29322265,78704,30.25129318237305,-97.77021026611328,1939,850000,2018,2002,2.0,3,82
29473264,78704,30.24272537231445,-97.76199340820312,1952,699900,2020,2000,3.0,3,69
251030632,78704,30.239341735839844,-97.77852630615234,2017,599000,2020,1375,3.0,2,4
29322264,78704,30.2512264251709,-97.77007293701172,1937,530000,2018,1092,1.0,2,84
29474941,78704,30.23784065246582,-97.76688385009766,1961,549000,2019,976,4.0,3,60
29322262,78704,30.25109100341797,-97.7697982788086,2013,1725000,2020,2557,3.0,3,8
29473260,78704,30.2423152923584,-97.7623062133789,2014,797000,2018,2198,3.0,3,7
29474618,78704,30.23923683166504,-97.77571105957033,1940,525000,2020,780,1.0,2,81
29322259,78704,30.25092887878418,-97.76940155029295,2018,1100000,2018,2298,3.0,4,3
2080097758,78704,30.23771858215332,-97.76498413085938,2020,699900,2020,1375,2.0,2,1
29322257,78704,30.251201629638672,-97.76909637451172,2018,1300000,2019,2488,3.0,4,3
2094430936,78704,30.24315071105957,-97.76209259033205,2017,509000,2018,1479,3.0,3,4
60138612,78704,30.24082374572754,-97.78022003173828,1977,270000,2020,935,1.0,2,44
241938475,78704,30.24268913269043,-97.7851333618164,2016,749000,2019,2058,3.0,3,5
62607746,78704,30.248676300048828,-97.75881958007812,2002,1200000,2020,2080,3.0,4,19
80087107,78704,30.2510986328125,-97.77398681640624,1968,200000,2018,483,1.0,1,53
121655245,78704,30.24477958679199,-97.75914764404295,2013,1385000,2018,2056,3.0,3,8
124842240,78704,30.24175453186035,-97.76575469970705,2014,595000,2020,1651,3.0,2,7
29473092,78704,30.24799728393555,-97.78196716308594,2008,1449000,2018,3446,4.0,5,13
89551733,78704,30.251134872436523,-97.75706481933594,2009,695000,2019,2188,3.0,3,12
29476972,78704,30.23823356628418,-97.7758331298828,1961,248000,2019,967,1.0,3,60
29473534,78704,30.24275207519531,-97.76605224609376,2020,1449995,2020,2739,3.0,4,1
62604580,78704,30.24956512451172,-97.7707977294922,1939,725000,2020,1365,2.0,3,82
29473577,78704,30.24076843261719,-97.77571868896484,2005,489000,2019,1850,4.0,3,16
2141852471,78704,30.24467086791992,-97.77252197265624,2005,534000,2018,1835,3.0,2,16
119621074,78704,30.24089241027832,-97.7810516357422,1972,218900,2020,644,1.0,1,49
29473073,78704,30.248188018798828,-97.77783203125,2017,1255000,2018,2612,3.0,4,4
29472717,78704,30.24563789367676,-97.75770568847656,2004,895000,2019,1901,3.0,3,17
29476716,78704,30.23726463317871,-97.76876831054688,1980,639990,2020,1824,2.0,3,41
29472715,78704,30.245635986328125,-97.7580108642578,2004,889000,2018,2632,3.0,3,17
251028883,78704,30.23955726623535,-97.77899932861328,2017,900000,2020,2182,3.0,4,4
29472713,78704,30.24578285217285,-97.7582550048828,2007,995000,2020,2035,3.0,3,14
29473067,78704,30.24657821655273,-97.77889251708984,1946,640000,2018,1700,2.0,3,75
29473209,78704,30.24485778808593,-97.75653076171876,2004,1399999,2019,2790,3.0,4,17
120288064,78704,30.2491455078125,-97.77287292480467,2012,774900,2019,2116,4.0,3,9
29476970,78704,30.23840141296387,-97.77606201171876,1956,499000,2019,1422,2.0,3,65
29472195,78704,30.24901962280273,-97.7599105834961,1949,570000,2020,1560,1.0,2,72
29473557,78704,30.241044998168945,-97.77914428710938,1936,625000,2019,854,1.0,3,85
29472687,78704,30.248056411743164,-97.75848388671876,2018,1447500,2018,2545,4.0,4,3
29322464,78704,30.249408721923828,-97.77706146240234,2018,1895000,2020,3209,4.0,4,3
94643070,78704,30.24339485168457,-97.77327728271484,1985,335000,2019,1140,3.0,2,36
29473045,78704,30.24781608581543,-97.7801742553711,2018,935000,2018,2072,4.0,3,3
241933182,78704,30.24006462097168,-97.76274871826172,2015,519000,2018,1480,3.0,2,6
251031044,78704,30.24937438964844,-97.77777099609376,2019,1670000,2019,3033,6.0,5,2
29472680,78704,30.246551513671875,-97.75902557373048,2018,1895000,2018,3205,5.0,4,3
29472178,78704,30.24922180175781,-97.76080322265624,1985,410000,2018,970,2.0,2,36
29322524,78704,30.250911712646484,-97.77684020996094,1965,750000,2020,1705,2.0,3,56
58312175,78704,30.2435245513916,-97.75660705566406,1999,785000,2020,1780,2.0,3,22
29473173,78704,30.24555206298828,-97.75531768798828,2000,1075000,2019,2043,3.0,3,21
121655019,78704,30.250661849975582,-97.7728042602539,2012,829000,2020,1785,3.0,3,9
2094674171,78704,30.246990203857425,-97.76278686523438,2017,950000,2020,2117,3.0,3,4
29473018,78704,30.247936248779297,-97.78045654296876,1950,475000,2020,1767,2.0,3,71
83819963,78704,30.23833084106445,-97.77227783203124,2009,485000,2018,1696,3.0,3,12
29472663,78704,30.24591636657715,-97.75886535644533,1955,649000,2019,736,1.0,2,66
29472163,78704,30.24861145019531,-97.76161193847656,1939,550000,2019,930,2.0,2,82
29322657,78704,30.25079345703125,-97.75711059570312,2018,1299999,2019,2676,3.0,4,3
29472655,78704,30.24873352050781,-97.75896453857422,1924,800000,2018,2773,3.0,4,97
29322655,78704,30.249324798583984,-97.75709533691406,2020,3450000,2020,4956,7.0,7,1
119626651,78704,30.23892021179199,-97.76671600341795,2013,575000,2018,1629,3.0,2,8
29472647,78704,30.24947929382324,-97.75897979736328,1938,1275000,2018,2481,3.0,3,83
